Soil Moisture,Temperature,Soil Humidity,Time,Air temperature (C),Air humidity (%),Pressure (KPa),ph
15,25,67,57,35.55,5.13,101.54,6.803931519
33,23,25,93,35.55,5.12,101.54,6.252797548
20,25,54,28,36.0,4.88,101.54,6.092725883
52,13,62,105,36.46,4.64,101.54,6.234330356
47,2,56,80,36.39,4.66,101.54,5.722579819
63,40,63,25,36.33,4.69,101.53,6.430616465
48,11,21,69,36.33,4.48,101.52,5.983952675
15,34,31,57,36.32,4.28,101.51,6.80163854
87,37,37,52,36.32,4.07,101.5,6.499936446
30,27,70,28,36.31,3.86,101.49,6.265564338
89,31,69,3,36.53,3.92,101.48,6.727303282
28,1,42,71,36.76,3.97,101.47,6.325235159
87,1,52,32,37.06,3.88,101.46,6.807487794
41,23,67,5,37.36,3.8,101.46,6.671085817
58,42,68,21,37.69,3.72,101.45,6.648725327
73,10,23,21,38.02,3.65,101.44,6.439071996
84,2,57,62,37.6,3.51,101.43,6.474476516
90,19,64,55,37.17,3.38,101.42,5.871647806
90,44,44,30,36.66,3.75,101.41,5.730617109
29,35,34,76,36.15,4.12,101.4,5.850439831
65,5,35,13,35.44,4.32,101.38,5.791649933
70,0,37,3,34.72,4.53,101.37,6.740000688
70,32,51,62,34.78,4.85,101.36,6.272417541
6,8,59,109,34.85,5.17,101.35,5.715208817
86,1,50,92,34.93,4.87,101.34,5.773454729
90,17,22,11,35.01,4.57,101.34,5.584171461
22,32,67,34,35.45,4.49,101.33,5.787268394
7,24,35,56,35.89,4.4,101.32,5.77597783
73,32,48,106,36.3,3.99,101.32,6.864793607
78,23,29,106,36.71,3.57,101.31,6.192360003
26,26,22,54,36.77,3.71,101.3,6.636803223
2,28,70,106,36.83,3.85,101.3,5.826426917
48,5,34,44,36.7,3.97,101.28,6.960358276
31,45,67,79,36.56,4.09,101.27,6.11275104
4,7,56,78,36.36,4.35,101.26,6.708446922
71,22,64,21,36.15,4.61,101.25,5.561510732
74,6,47,73,36.2,4.62,101.24,5.873242491
58,20,31,67,36.25,4.63,101.23,6.995843776
76,3,70,78,36.12,4.7,101.22,5.714799723
78,36,44,99,36.0,4.77,101.21,6.78073637
5,14,41,88,35.88,4.84,101.2,5.513697923
8,32,38,110,35.75,4.91,101.19,5.798423908
31,6,40,94,35.59,4.59,101.18,6.352471866
30,34,53,78,35.43,4.27,101.18,6.822586546
58,25,37,27,35.48,4.22,101.17,6.655426355
28,9,66,19,35.52,4.17,101.16,6.121294041
19,16,32,22,35.52,4.06,101.15,5.790770203
26,15,45,84,35.52,3.96,101.14,6.47444292
51,37,65,10,35.42,3.88,101.14,6.455116637
4,45,67,110,35.33,3.8,101.13,6.606984086
80,25,63,19,35.24,3.98,101.12,6.330554389
68,24,45,17,35.15,4.17,101.11,6.528631266
8,9,41,16,35.34,4.12,101.1,5.721667141
53,35,21,75,35.52,4.06,101.1,6.644205485
79,32,66,19,35.53,3.96,101.1,6.376651091
68,5,63,10,35.55,3.87,101.09,6.247040422
76,37,59,32,35.4,3.7,101.08,6.656730008
34,18,38,49,35.25,3.53,101.08,6.2048017
28,0,66,10,35.35,3.34,101.06,6.158860284
62,36,25,4,35.24,2.96,101.06,6.385684214
88,27,54,63,35.13,2.58,101.05,6.417820493
1,23,39,66,35.03,2.74,101.05,6.381201909
25,0,48,14,34.92,2.9,101.05,6.877869005
40,2,46,30,34.83,2.88,101.04,7.485996067
77,22,58,100,34.73,2.86,101.04,6.920251378
66,22,48,87,34.74,2.99,101.04,5.996932037
52,21,36,8,34.76,3.12,101.04,6.391173589
84,34,37,98,34.7,3.08,101.04,7.152811172
26,7,39,21,34.63,3.05,101.04,5.988992796
38,34,40,34,34.56,3.1,101.04,6.231049028
48,24,68,19,34.49,3.16,101.04,7.550808267
12,20,43,108,34.48,3.52,101.04,7.010570541
51,0,46,2,34.46,3.87,101.04,8.753795334
83,26,36,86,34.26,3.7,101.04,8.718192847
64,3,57,84,34.07,3.52,101.04,7.976607593
35,10,69,15,33.83,3.5,101.04,6.515499549
81,17,53,17,33.58,3.48,101.03,8.490127142
47,15,28,107,33.44,3.6,101.02,6.576415562
18,40,38,32,33.31,3.72,101.02,6.481783043
54,40,39,44,33.13,3.88,101.02,7.966605025
60,18,43,42,32.95,4.05,101.02,8.140825437
20,38,63,21,32.82,4.17,101.02,7.228963452
39,16,20,82,32.69,4.29,101.02,6.492546046
19,17,51,5,32.64,4.14,101.02,7.528599957
61,16,50,84,32.59,3.98,101.02,7.701446446
40,28,52,9,32.45,3.94,101.02,8.519975748
37,4,30,69,32.3,3.9,101.03,6.620900869
61,14,61,83,32.16,3.86,101.03,8.104396058
70,8,43,44,32.02,3.82,101.03,6.204090835
40,43,68,20,31.87,3.78,101.04,6.051091339
84,6,33,57,31.73,3.74,101.04,7.690962338
60,30,58,79,31.54,3.86,101.04,7.829211144
5,29,37,92,31.34,3.99,101.04,6.761599706
8,25,66,66,31.15,4.12,101.04,6.654425315
58,44,52,23,30.96,4.24,101.04,6.129533877
1,27,69,69,30.75,4.5,101.04,8.829273328
65,7,35,108,30.54,4.75,101.05,8.621662982
50,35,65,109,30.44,4.79,101.06,8.204862075
2,15,65,94,30.35,4.83,101.06,6.18042747
28,17,57,19,30.13,5.22,101.08,7.978996755
56,13,43,81,29.91,5.61,101.09,7.863113671
35,29,55,101,29.58,6.22,101.1,6.967843048
16,8,57,58,29.24,6.82,101.1,6.206582193
90,7,62,4,29.03,7.38,101.11,8.868741443
33,44,29,31,28.83,7.93,101.12,8.766128654
40,38,58,32,28.68,8.25,101.12,8.736337905
75,15,56,51,28.54,8.56,101.13,8.081095263
43,41,51,87,28.34,9.15,101.14,6.138243973
87,15,54,47,28.14,9.74,101.15,7.496645259
90,44,29,35,28.22,9.64,101.16,8.380185271
67,27,30,9,28.3,9.54,101.17,6.289614016
83,24,46,59,28.09,10.34,101.18,6.586777189
85,12,41,55,27.88,11.15,101.18,6.89655198
62,23,47,22,27.74,11.73,101.18,7.806747656
88,38,46,101,27.61,12.3,101.17,7.150681303
10,30,70,61,27.38,13.09,101.18,6.64919573
20,39,50,97,27.16,13.88,101.19,7.778591618
62,12,51,36,26.84,14.36,101.2,6.358740355
50,26,28,102,26.52,14.83,101.2,8.255450758
35,45,64,11,26.29,14.93,101.21,6.456148474
83,20,53,49,26.06,15.04,101.22,6.613072145
5,0,61,2,25.94,15.08,101.24,8.165359297
27,12,57,99,25.81,15.12,101.25,7.64867466
34,21,37,48,25.73,15.58,101.25,6.545888558
32,3,58,4,25.65,16.05,101.25,7.104224797
30,28,31,91,25.59,16.13,101.25,7.358099622
63,8,20,60,25.53,16.22,101.25,6.4740245
61,20,54,96,25.51,15.56,101.25,7.840339389
60,36,22,40,25.49,14.89,101.25,7.064790365
54,24,41,55,25.63,14.34,101.26,7.599033472
71,26,24,4,25.77,13.78,101.26,6.715587232
14,45,54,89,25.8,13.56,101.26,6.81712422
39,15,21,26,25.82,13.34,101.27,7.985417393
40,37,62,36,25.74,13.36,101.27,7.545258424
50,1,41,99,25.65,13.38,101.27,7.728998197
73,9,34,100,25.64,13.32,101.28,7.354973451
37,41,34,73,25.62,13.25,101.28,7.313122235
43,0,66,69,25.38,14.4,101.28,7.785039076
76,29,44,9,25.15,15.54,101.28,6.307004923
53,36,42,108,25.04,16.4,101.28,6.403982316
71,9,55,82,24.94,17.26,101.28,7.599279991
26,9,65,53,24.83,18.12,101.28,7.217018459
12,41,36,44,24.82,18.26,101.28,7.561108006
67,13,35,93,24.82,18.41,101.28,7.489545074
17,45,53,85,24.84,18.22,101.28,6.609696734
26,38,70,75,24.85,18.02,101.28,7.476800943
78,39,34,63,24.91,17.3,101.28,7.325451279
30,27,57,104,24.97,16.58,101.28,6.489389282
20,5,38,50,24.88,16.43,101.28,7.786366322
79,28,61,107,24.79,16.29,101.29,6.408437886
40,17,42,49,24.66,16.19,101.28,8.423873703
10,11,53,82,24.52,16.09,101.28,8.719960893
84,8,55,93,24.45,15.62,101.28,7.811997977
11,8,32,110,24.38,15.14,101.28,6.317153205
63,28,38,95,24.29,14.94,101.28,7.114405288
40,2,40,101,24.2,14.75,101.28,8.135900726
33,37,34,62,24.11,14.77,101.28,7.714153038
75,11,64,107,24.02,14.79,101.28,7.103798069
24,30,57,3,23.82,15.1,101.28,8.861479668
65,15,53,94,23.62,15.41,101.28,7.861128148
35,25,46,94,23.51,15.27,101.28,7.4526709
44,15,33,68,23.4,15.13,101.28,7.168096055
39,1,45,96,23.33,15.57,101.28,7.26311855
13,35,24,58,23.26,16.0,101.27,5.68597166
20,45,59,95,23.1,18.12,101.26,5.759237003
82,0,65,107,22.94,20.25,101.26,5.873171894
72,5,53,46,22.85,20.45,101.26,5.926676985
56,30,36,35,22.76,20.65,101.26,5.95561668
14,44,26,94,22.56,21.04,101.26,5.949949081
25,10,57,24,22.36,21.44,101.26,5.789214289
13,6,52,71,22.42,20.72,101.25,5.581021521
43,43,37,91,22.47,19.99,101.24,5.689858133
62,1,66,98,22.41,19.48,101.24,5.794158504
56,36,47,60,22.35,18.97,101.24,5.748190463
60,10,25,41,22.46,18.12,101.24,5.566522896
89,7,56,35,22.58,17.26,101.23,5.809419584
46,23,23,41,22.69,16.78,101.22,5.887263027
8,29,32,7,22.8,16.31,101.22,5.99812453
13,10,41,63,22.77,16.06,101.22,5.792744849
55,35,35,16,22.74,15.82,101.21,5.912289889
65,27,44,62,22.6,16.02,101.2,5.788386951
34,33,66,5,22.46,16.22,101.2,5.728233081
55,17,35,51,22.24,16.61,101.2,5.833940084
32,10,40,79,22.03,17.0,101.2,5.967533236
60,38,47,41,21.86,17.4,101.2,5.625096446
80,21,48,9,21.69,17.8,101.21,5.515615023
22,16,39,97,21.44,18.58,101.2,5.954665349
2,21,51,62,21.19,19.35,101.2,5.74644777
31,8,26,33,21.12,20.23,101.2,5.877347515
59,11,50,40,21.04,21.1,101.2,5.979973965
27,6,53,75,21.38,20.2,101.2,5.635993966
42,40,54,102,21.71,19.31,101.19,5.635231778
19,31,68,54,21.76,19.27,101.2,5.679224346
37,43,41,37,21.81,19.23,101.2,5.670062975
17,16,47,55,21.64,19.92,101.2,5.724242065
42,22,62,38,21.46,20.61,101.2,5.811314232
90,39,46,61,21.37,20.76,101.2,5.783425416
27,9,35,26,21.28,20.92,101.2,5.607808432
12,1,40,96,21.33,20.92,101.2,5.946999529
26,13,43,90,21.38,20.92,101.2,5.852046999
35,19,52,95,21.28,21.41,101.2,5.824090984
84,45,36,65,21.19,21.9,101.21,5.502999119
44,43,66,107,21.16,22.01,101.21,5.821649914
90,28,63,78,21.13,22.12,101.21,5.711439256
6,15,40,47,21.02,22.5,101.21,5.514927264
70,23,53,20,20.92,22.88,101.21,5.99616119
76,18,26,34,20.82,23.25,101.21,5.695422863
7,3,61,59,20.71,23.63,101.21,5.833010958
87,12,58,5,20.72,23.19,101.21,5.568456899
86,33,61,66,20.72,22.74,101.21,5.645435626
64,28,46,49,20.73,22.3,101.21,5.821194486
15,38,53,90,20.74,21.86,101.21,5.659254981
18,44,32,84,20.6,22.1,101.22,5.945465949
50,24,29,53,20.46,22.33,101.22,5.951177452
36,11,50,99,20.38,22.6,101.22,5.520880014
81,32,46,52,20.3,22.88,101.22,5.578410206
66,38,22,105,20.22,23.15,101.22,5.608165195
86,4,66,1,20.14,23.42,101.22,5.609435128
5,0,69,104,20.12,23.38,101.22,5.509295379
85,28,61,20,20.09,23.34,101.22,5.902033406
14,12,41,73,20.01,23.66,101.22,5.744117663
32,34,45,50,19.93,23.99,101.22,5.717143397
3,42,23,21,19.85,24.31,101.22,5.542690119
20,19,46,75,19.62,25.28,101.22,5.858617867
53,12,68,36,19.4,26.25,101.23,5.618844277
9,34,47,58,19.21,26.8,101.24,5.606620346
6,32,26,55,19.02,27.36,101.24,5.582178402
79,8,47,48,18.74,28.08,101.24,5.56503533
76,39,27,69,18.45,28.79,101.25,5.889614577
77,23,27,108,18.28,29.61,101.25,5.934136378
63,45,37,13,18.11,30.43,101.25,5.683548308
3,5,42,7,18.01,30.62,101.25,5.70836603
40,3,20,63,17.91,30.8,101.25,5.948164454
31,20,34,96,18.06,29.96,101.26,5.774755144
90,5,49,2,18.22,29.13,101.27,5.97229163
8,27,37,27,18.24,28.95,101.28,5.532100554
37,1,22,96,18.25,28.77,101.29,5.669560726
22,4,65,25,18.24,28.24,101.3,5.655726817
70,30,60,99,18.22,27.7,101.3,5.591704014
84,32,29,107,18.26,27.26,101.3,5.932323085
29,39,53,98,18.3,26.83,101.3,5.824208309
18,15,33,103,18.32,26.9,101.31,5.86442953
82,11,25,93,18.33,26.98,101.32,5.866744372
86,29,48,58,18.34,27.06,101.33,5.706198621
12,21,32,109,18.36,27.13,101.34,5.940546818
64,11,32,90,18.58,26.56,101.34,5.916779289
16,20,32,60,18.8,25.98,101.34,5.779090476
47,9,31,57,19.12,25.23,101.34,5.82738029
51,16,70,17,19.44,24.48,101.35,5.514234138
5,5,23,49,19.71,23.94,101.35,5.662699104
90,19,56,38,19.98,23.4,101.36,5.86390397
32,0,25,90,20.46,22.37,101.36,5.624690248
16,22,70,40,20.94,21.34,101.36,5.591560999
42,30,52,91,21.43,20.3,101.36,5.976312538
86,32,50,34,21.91,19.27,101.36,5.669236258
86,9,69,17,22.48,18.02,101.37,5.961934481
80,3,34,30,23.06,16.76,101.38,5.690065688
58,43,58,36,23.64,15.44,101.38,5.698371311
90,37,40,60,24.22,14.13,101.38,5.59503163
78,44,70,72,24.66,13.18,101.38,5.525904526
38,26,24,73,25.1,12.22,101.38,5.819403771
39,23,45,60,25.65,11.43,101.38,5.562201934
9,8,31,103,26.19,10.64,101.39,5.630664753
73,37,22,35,26.74,9.84,101.4,6.03160778
77,0,50,72,27.3,9.03,101.4,5.269084669
16,17,61,12,27.61,8.72,101.41,5.985792703
56,37,55,68,27.92,8.41,101.42,6.09186275
8,4,37,56,28.06,8.38,101.42,5.624731338
27,45,20,92,28.2,8.34,101.43,6.446091759
29,8,68,64,28.35,8.3,101.43,5.623490043
17,10,64,88,28.49,8.27,101.43,5.864623352
60,43,48,64,28.8,7.94,101.43,5.761702519
20,15,40,57,29.12,7.6,101.43,4.696518678
82,43,39,102,29.65,7.26,101.44,5.269504214
59,25,61,96,30.17,6.91,101.44,7.445444883
46,13,56,54,30.53,6.69,101.45,5.833031708
35,37,30,87,30.9,6.46,101.46,7.339320929
67,39,60,0,31.26,6.24,101.46,6.347929353
76,37,46,60,31.62,6.02,101.47,4.697750704
2,45,59,70,31.62,5.68,101.47,4.962661422
20,30,21,104,31.62,5.33,101.47,4.964887857
36,29,39,62,31.92,5.12,101.47,5.642813116
86,24,42,93,32.21,4.92,101.47,5.6093956
7,5,44,92,32.44,4.72,101.46,4.681576043
82,34,64,4,32.66,4.53,101.46,5.70951224
20,27,27,67,33.02,4.32,101.46,6.413543781
65,27,34,19,33.38,4.11,101.45,6.007508163
32,11,53,54,33.16,4.11,101.44,4.946369874
72,7,32,51,32.94,4.11,101.44,5.517208078
73,44,39,79,33.2,4.08,101.44,5.902103172
8,32,48,15,33.45,4.05,101.43,5.719889876
7,31,39,58,33.65,3.86,101.42,4.548202098
58,17,60,94,33.84,3.67,101.41,6.669529416
68,12,25,65,34.03,3.66,101.4,4.750929218
65,37,58,15,34.22,3.66,101.4,4.946263888
31,37,29,11,34.36,3.56,101.39,5.266227032
54,42,44,80,34.51,3.45,101.38,7.10959773
12,32,56,93,34.57,3.29,101.36,5.617008201
78,37,54,70,34.63,3.13,101.35,5.632353113
72,16,30,105,34.75,3.02,101.34,4.674941549
17,33,69,65,34.86,2.91,101.34,7.161797643
11,41,23,110,34.76,2.93,101.33,6.624966131
64,9,26,110,34.66,2.95,101.32,5.004074624
72,44,24,93,34.74,2.76,101.31,6.345806011
22,18,57,51,34.81,2.58,101.3,6.216814453
36,38,31,75,34.3,2.76,101.29,5.921666758
18,17,40,10,33.8,2.94,101.28,6.012719118
84,42,67,85,33.34,3.16,101.27,4.684079249
21,45,55,39,32.89,3.38,101.26,7.077170002
56,20,33,36,32.86,3.64,101.25,6.208843215
73,4,67,61,32.83,3.91,101.24,7.05181629
79,21,63,30,33.33,3.63,101.24,4.722222454
56,27,25,45,33.82,3.35,101.23,6.418062652
82,43,59,87,33.83,3.38,101.22,4.803564468
77,42,42,15,33.83,3.41,101.21,4.608695247
79,16,58,86,34.0,3.35,101.2,5.611510977
10,44,38,45,34.18,3.29,101.2,7.322097972
57,6,28,48,34.48,3.23,101.19,5.023115055
68,17,62,69,34.77,3.17,101.18,5.617122801
46,1,58,28,34.58,3.02,101.18,5.391560418
83,16,31,82,34.38,2.88,101.17,5.906596905
26,23,60,107,34.13,3.16,101.16,6.574209678
78,24,45,81,33.88,3.43,101.15,4.807776749
7,29,48,22,34.12,3.4,101.15,4.760038039
48,2,52,97,34.37,3.37,101.14,5.180271502
34,0,33,55,34.07,3.49,101.13,4.895927306
48,3,36,71,33.77,3.6,101.12,6.436160044
5,27,29,47,33.76,3.53,101.12,7.066087261
15,36,37,52,33.76,3.46,101.11,6.655918078
48,2,59,69,33.76,3.39,101.1,5.982854523
48,41,21,19,33.75,3.32,101.1,5.457871273
74,24,25,101,33.55,3.34,101.09,4.759490199
10,42,35,99,33.35,3.36,101.08,7.342409555
23,0,58,43,33.39,3.13,101.08,4.820788186
35,3,53,1,33.42,2.9,101.08,6.242052013
74,3,42,26,33.54,3.06,101.07,5.001038726
17,16,57,21,33.67,3.21,101.07,5.560224583
37,4,31,68,33.72,3.3,101.07,4.747352458
77,6,59,68,33.77,3.39,101.07,7.313517308
44,2,53,0,33.77,3.53,101.06,5.661826398
62,8,55,57,33.77,3.66,101.06,4.672437054
70,24,41,5,33.76,3.35,101.05,6.471862118
19,2,27,70,33.74,3.04,101.04,5.384762927
9,44,66,90,33.72,3.22,101.04,5.859813416
50,35,37,78,33.7,3.41,101.04,6.962386495
65,41,63,62,33.67,3.6,101.03,6.12166671
9,24,20,34,33.65,3.78,101.03,6.421748487
42,10,35,17,33.45,3.68,101.03,4.828936119
22,17,69,43,33.25,3.58,101.02,6.98571967
57,17,55,13,33.04,3.49,101.02,4.603563116
25,44,25,94,32.84,3.39,101.02,6.979540061
25,34,51,59,32.75,3.4,101.02,7.064973419
16,16,52,28,32.66,3.4,101.02,5.16516459
79,45,27,93,32.56,3.4,101.02,5.111488821
84,7,25,61,32.47,3.41,101.02,5.374358869
2,31,29,40,32.38,3.42,101.01,5.671419084
33,26,28,99,32.29,3.42,101.01,5.667419697
80,29,31,32,32.19,3.42,101.01,6.07938452
86,34,36,71,32.1,3.43,101.01,6.931924963
30,24,60,110,31.95,3.66,101.01,6.842744374
86,27,46,98,31.8,3.89,101.02,6.876572503
1,18,37,59,31.66,4.12,101.02,6.151029296
45,7,26,15,31.51,4.34,101.02,4.567446499
53,6,20,98,31.36,4.57,101.03,3.692863601
39,34,34,6,31.21,4.8,101.03,4.371745575
2,20,24,47,30.98,5.4,101.02,8.399135958
50,23,24,47,30.76,6.0,101.02,8.840656256
41,5,60,10,30.55,5.78,101.02,8.153022903
76,7,25,51,30.34,5.56,101.03,5.270749441
11,7,30,65,30.18,5.58,101.03,8.050304395
59,5,44,97,30.02,5.61,101.03,9.679240873
80,43,33,98,29.8,5.9,101.04,6.974978386
21,36,35,72,29.58,6.19,101.04,7.39389918
37,16,25,57,29.35,6.48,101.05,6.68727523
20,35,59,85,29.13,6.77,101.06,7.88118645
74,7,43,101,28.82,7.57,101.06,5.875333778
52,19,34,3,28.52,8.37,101.06,8.202706015
17,26,66,70,28.24,8.67,101.06,8.985348193
20,37,45,20,27.97,8.97,101.07,5.87707519
31,2,22,102,27.86,8.16,101.07,7.707595055
5,43,23,42,27.76,7.35,101.07,4.524171562
61,1,32,73,27.68,6.88,101.07,9.926212291
70,35,29,78,27.61,6.41,101.07,6.455592696
62,28,39,66,27.42,6.67,101.06,8.016210782
55,40,33,27,27.23,6.93,101.06,3.71105919
65,14,56,3,26.97,7.48,101.06,5.49091063
83,33,59,19,26.71,8.02,101.06,9.254089438
52,7,47,14,26.63,8.32,101.07,6.005242945
40,44,58,29,26.55,8.63,101.08,7.437078236
87,0,69,82,26.44,8.72,101.08,3.808429173
77,17,20,50,26.32,8.81,101.09,5.818219385
74,7,50,23,26.12,9.0,101.1,4.52363558
36,14,55,96,25.93,9.18,101.11,3.510404312
3,1,32,26,25.96,9.11,101.12,6.030447288
12,42,53,30,26.0,9.04,101.13,5.498340808
54,26,33,8,26.05,8.93,101.14,4.61136408
32,45,54,105,26.1,8.81,101.14,5.545219232
